donor,cell_size,total_intensity,class
3,119.0,6427.0,quiescent
3,139.0,6941.0,quiescent
3,80.0,2321.0,quiescent
3,279.0,15177.0,quiescent
3,230.0,17763.0,quiescent
3,225.0,14417.0,quiescent
3,259.0,13328.0,quiescent
3,245.0,15858.0,quiescent
3,221.0,12349.0,quiescent
3,287.0,25458.0,quiescent
3,205.0,10057.0,quiescent
3,199.0,15237.0,quiescent
3,217.0,11139.0,quiescent
3,167.0,9764.0,quiescent
3,179.0,9269.0,quiescent
3,145.0,10400.0,quiescent
3,190.0,8379.0,quiescent
3,197.0,9091.0,quiescent
3,183.0,9490.0,quiescent
3,215.0,6630.0,quiescent
3,125.0,6709.0,quiescent
3,215.0,11228.0,quiescent
3,207.0,9611.0,quiescent
3,188.0,10358.0,quiescent
3,337.0,14098.0,quiescent
3,173.0,10419.0,quiescent
3,216.0,10052.0,quiescent
3,187.0,8506.0,quiescent
3,208.0,7947.0,quiescent
3,212.0,6373.0,quiescent
3,178.0,11976.0,quiescent
3,326.0,14434.0,quiescent
3,213.0,10669.0,quiescent
3,239.0,12400.0,quiescent
3,179.0,6830.0,quiescent
3,183.0,8411.0,quiescent
3,168.0,5500.0,quiescent
3,310.0,27862.0,quiescent
3,218.0,14636.0,quiescent
3,211.0,8851.0,quiescent
3,221.0,6809.0,quiescent
3,205.0,13213.0,quiescent
3,243.0,16077.0,quiescent
3,170.0,7896.0,quiescent
3,172.0,8699.0,quiescent
3,129.0,10188.0,quiescent
3,186.0,9438.0,quiescent
3,134.0,4243.0,quiescent
3,148.0,4681.0,quiescent
3,318.0,17124.0,quiescent
3,166.0,10574.0,quiescent
3,249.0,13356.0,quiescent
3,216.0,14219.0,quiescent
3,192.0,6247.0,quiescent
3,177.0,5943.0,quiescent
3,175.0,19058.0,quiescent
3,228.0,14772.0,quiescent
3,184.0,6438.0,quiescent
4,414.0,66775.0,activated
4,672.0,119109.0,activated
4,223.0,15242.0,activated
4,323.0,30547.0,activated
4,493.0,103716.0,activated
4,695.0,31658.0,activated
4,481.0,29314.0,activated
4,333.0,15577.0,activated
4,257.0,16791.0,activated
4,103.0,5965.0,activated
4,112.0,5683.0,activated
4,599.0,51603.0,activated
4,113.0,12598.0,activated
4,389.0,29918.0,activated
4,509.0,40726.0,activated
4,2093.0,315829.0,activated
4,943.0,106226.0,activated
4,433.0,31736.0,activated
4,628.0,56731.0,activated
4,2122.0,177620.0,activated
4,289.0,47974.0,activated
4,545.0,82309.0,activated
4,969.0,95867.0,activated
4,824.0,88302.0,activated
4,1245.0,156019.0,activated
4,243.0,33572.0,activated
4,737.0,83579.0,activated
4,724.0,47446.0,activated
4,257.0,12973.0,activated
4,315.0,27266.0,activated
4,229.0,33990.0,activated
4,660.0,62757.0,activated
4,236.0,32964.0,activated
4,388.0,43502.0,activated
4,899.0,131932.0,activated
4,476.0,45281.0,activated
4,203.0,13328.0,activated
4,253.0,28026.0,activated
4,476.0,24915.0,activated
4,200.0,28456.0,activated
4,697.0,74189.0,activated
4,700.0,49115.0,activated
4,1267.0,72783.0,activated
4,588.0,48209.0,activated
4,385.0,25844.0,activated
4,200.0,21339.0,activated
4,257.0,29006.0,activated
4,750.0,46228.0,activated
4,781.0,49391.0,activated
4,237.0,9704.0,quiescent
4,191.0,4595.0,quiescent
4,213.0,9088.0,quiescent
4,199.0,7728.0,quiescent
4,323.0,25668.0,quiescent
4,347.0,18180.0,quiescent
4,184.0,7038.0,quiescent
4,224.0,12069.0,quiescent
4,342.0,18885.0,quiescent
4,201.0,5526.0,quiescent
4,212.0,7892.0,quiescent
4,190.0,5968.0,quiescent
4,316.0,13740.0,quiescent
4,176.0,6973.0,quiescent
4,188.0,8390.0,quiescent
4,93.0,2737.0,quiescent
4,208.0,9800.0,quiescent
4,176.0,5225.0,quiescent
4,190.0,8504.0,quiescent
4,244.0,9190.0,quiescent
4,217.0,12368.0,quiescent
4,205.0,8906.0,quiescent
4,68.0,5500.0,quiescent
4,154.0,6781.0,quiescent
4,206.0,6185.0,quiescent
4,115.0,3318.0,quiescent
4,186.0,6843.0,quiescent
4,202.0,8966.0,quiescent
4,106.0,7212.0,quiescent
4,414.0,22451.0,quiescent
4,166.0,6261.0,quiescent
4,299.0,29280.0,quiescent
4,154.0,7252.0,quiescent
4,245.0,8033.0,quiescent
4,196.0,5714.0,quiescent
4,175.0,7606.0,quiescent
4,175.0,7605.0,quiescent
